P_kPa,Tsat_C,row_type,T_C,v_m3_per_kg,u_kJ_per_kg,h_kJ_per_kg,s_kJ_per_kgK,source_page,source_side
17500,354.67,T,160,0.001090,666.45,685.53,1.923 0,9,left
17500,354.67,T,170,0.001 102,709.17,728.45,2.021 0,9,left
17500,354.67,T,180,0.001114,752.17,771.66,2.1175,9,left
17500,354.67,T,190,0.001 127,795.48,815.21,2.2125,9,left
17500,354.67,T,200,0.001 141,839.15,859.12,2.306 3,9,left
17500,354.67,T,210,0.001 156,883.23,903.46,2.399 0,9,left
17500,354.67,T,220,0.001172,927.76,948.28,2.490 9,9,left
17500,354.67,T,230,0.001 190,972.83,993.65,2.581 9,9,left
17500,354.67,T,240,0.001 209,"1,018.50","1,039.60",2.672 4,9,left
17500,354.67,T,250,0.001 229,"1,064.90","1,086.40",2.762 6,9,left
17500,354.67,T,260,0.001 252,"1,112.00","1,133.90",2.8527,9,left
17500,354.67,T,270,0.001 276,"1,160.10","1,182.50",2.9429,9,left
17500,354.67,T,280,0.001 304,"1,209.40","1,232.20",3.033 6,9,left
17500,354.67,T,290,0.001 334,"1,260.00","1,283.30",3.125 2,9,left
17500,354.67,T,300,0.001 369,"1,312.30","1,336.20",3.2183,9,left
17500,354.67,T,310,0.001 410,"1,366.70","1,391.30",3.3136,9,left
17500,354.67,T,320,0.001 458,"1,423.90","1,449.50",3.4124,9,left
17500,354.67,T,330,0.001518,"1,485.20","1,511.80",3.5166,9,left
17500,354.67,T,340,0.001 597,"1,552.80","1,580.80",3.6300,9,left
17500,354.67,T,350,0.001 714,"1,632.50","1,662.50",3.762 2,9,left
17500,354.67,Sat,354.67,0.001 803,"1,679.20","1,710.80",3.839 4,9,left
20000,365.75,T,10,0.000 991,41.486,61.307,0.148 875,9,right
20000,365.75,T,20,0.000 993,82.708,102.57,0.292 075,9,right
20000,365.75,T,30,0.000 996,123.93,143.84,0.430 532,9,right
20000,365.75,T,40,0.000999,165.17,185.16,0.564 610,9,right
20000,365.75,T,50,0.001 003,206.44,226.51,0.694 611,9,right
20000,365.75,T,60,0.001 008,247.75,267.92,0.820 799,9,right
20000,365.75,T,70,0.001 014,289.1,309.38,0.943 415,9,right
20000,365.75,T,80,0.001 020,330.5,350.9,1.062 7,9,right
20000,365.75,T,90,0.001 027,371.96,392.49,1.178 8,9,right
20000,365.75,T,100,0.001 034,413.5,434.17,1.292 0,9,right
20000,365.75,T,110,0.001 041,455.12,475.94,1.402 5,9,right
20000,365.75,T,120,0.001050,496.85,517.84,1.5105,9,right
20000,365.75,T,130,0.001 058,538.7,559.87,1.616 0,9,right
20000,365.75,T,140,0.001 068,580.71,602.07,1.719 4,9,right
20000,365.75,T,150,0.001 078,622.89,644.45,1.820 8,9,right
20000,365.75,T,160,0.001 089,665.27,687.05,1.920 3,9,right
20000,365.75,T,170,0.001100,707.89,729.89,2.0181,9,right
20000,365.75,T,180,0.001 112,750.77,773.02,2.1143,9,right
20000,365.75,T,190,0.001 125,793.96,816.46,2.209 1,9,right
20000,365.75,T,200,0.001139,837.49,860.27,2.3027,9,right
20000,365.75,T,210,0.001 154,881.41,904.48,2.395 2,9,right
20000,365.75,T,220,0.001 170,925.77,949.16,2.486 7,9,right
20000,365.75,T,230,0.001 187,970.63,994.37,2.577 4,9,right
20000,365.75,T,240,0.001 205,"1,016.10","1,040.20",2.6676,9,right
20000,365.75,T,250,0.001 225,"1,062.20","1,086.70",2.7573,9,right
20000,365.75,T,260,0.001 247,"1,109.00","1,134.00",2.8469,9,right
20000,365.75,T,270,0.001 271,"1,156.80","1,182.20",2.9365,9,right
20000,365.75,T,280,0.001 298,"1,205.50","1,231.50",3.0265,9,right
20000,365.75,T,290,0.001 328,"1,255.60","1,282.10",3.1172,9,right
20000,365.75,T,300,0.001 361,"1,307.10","1,334.40",3.209 1,9,right
20000,365.75,T,310,0.001 400,"1,360.60","1,388.60",3.3029,9,right
20000,365.75,T,320,0.001 445,"1,416.60","1,445.50",3.3996,9,right
20000,365.75,T,330,0.001 500,"1,475.90","1,505.90",3.5006,9,right
20000,365.75,T,340,0.001 569,"1,540.20","1,571.60",3.608 6,9,right
20000,365.75,T,350,0.001 665,"1,612.70","1,646.00",3.7290,9,right
20000,365.75,T,360,0.001 825,"1,703.60","1,740.10",3.8787,9,right
20000,365.75,Sat,365.75,0.002 040,"1,786.40","1,827.20",4.0156,9,right
25000,,T,10,0.000 989,41.341,66.062,0.148 187,10,left
25000,,T,20,0.000 991,82.409,107.18,0.290 892,10,left
25000,,T,30,0.000 994,123.49,148.33,0.428 936,10,left
25000,,T,40,0.000 997,164.61,189.53,0.562 653,10,left
25000,,T,50,0.001 001,205.75,230.79,0.692 327,10,left
25000,,T,60,0.001 006,246.94,272.09,0.818 213,10,left
25000,,T,70,0.001012,288.16,313.46,0.940 542,10,left
25000,,T,80,0.001 018,329.44,354.88,1.059 5,10,left
25000,,T,90,0.001 024,370.77,396.38,1.175 4,10,left
25000,,T,100,0.001031,412.17,437.95,1.288 3,10,left
25000,,T,110,0.001 039,453.65,479.63,1.398 6,10,left
25000,,T,120,0.001 047,495.24,521.41,1.506 2,10,left
25000,,T,130,0.001056,536.94,563.33,1.6115,10,left
25000,,T,140,0.001 065,578.78,605.41,1.7146,10,left
25000,,T,150,0.001075,620.78,647.66,1.815 6,10,left
25000,,T,160,0.001 085,662.98,690.11,1.9148,10,left
25000,,T,170,0.001 097,705.39,732.8,2.012 2,10,left
25000,,T,180,0.001 108,748.05,775.76,2.108 1,10,left
25000,,T,190,0.001 121,790.99,819.02,2.202 5,10,left
25000,,T,200,0.001 135,834.24,862.61,2.295 6,10,left
25000,,T,210,0.001 149,877.86,906.59,2.387 6,10,left
25000,,T,220,0.001 164,921.88,951,2.478 6,10,left
25000,,T,230,0.001 181,966.37,995.89,2.568 7,10,left
25000,,T,240,0.001 199,"1,011.40","1,041.30",2.658 2,10,left
25000,,T,250,0.001 218,"1,057.00","1,087.40",2.747 1,10,left
25000,,T,260,0.001 239,"1,103.20","1,134.20",2.8357,10,left
25000,,T,270,0.001 262,"1,150.30","1,181.90",2.9242,10,left
25000,,T,280,0.001 287,"1,198.30","1,230.50",3.0129,10,left
25000,,T,290,0.001 315,"1,247.30","1,280.20",3.1020,10,left
25000,,T,300,0.001 346,"1,297.60","1,331.30",3.1919,10,left
25000,,T,310,0.001 381,"1,349.50","1,384.10",3.283 2,10,left
25000,,T,320,0.001 421,"1,403.40","1,438.90",3.3764,10,left
25000,,T,330,0.001 469,"1,459.70","1,496.40",3.4726,10,left
25000,,T,340,0.001526,"1,519.40","1,557.50",3.573 1,10,left
25000,,T,350,0.001 599,"1,583.90","1,623.90",3.6804,10,left
25000,,T,360,0.001 697,"1,656.20","1,698.60",3.799 3,10,left
25000,,T,370,0.001 850,"1,743.60","1,789.80",3.9423,10,left
25000,,T,380,0.002 218,"1,880.30","1,935.70",4.167 1,10,left
30000,,T,10,0.000987,41.193,70.792,0.147 448,10,right
30000,,T,20,0.000989,82.112,111.77,0.289 679,10,right
30000,,T,30,0.000992,123.06,152.81,0.427 324,10,right
30000,,T,40,0.000995,164.05,193.9,0.560 692,10,right
30000,,T,50,0.000999,205.07,235.05,0.690 050,10,right
30000,,T,60,0.001004,246.14,276.26,0.815 641,10,right
30000,,T,70,0.001010,287.24,317.53,0.937 692,10,right
30000,,T,80,0.001016,328.4,358.86,1.0564,10,right
30000,,T,90,0.001022,369.6,400.26,1.1720,10,right
30000,,T,100,0.001029,410.87,441.74,1.2847,10,right
30000,,T,110,0.001037,452.22,483.32,1.3946,10,right
30000,,T,120,0.001045,493.66,525,1.502 0,10,right
30000,,T,130,0.001053,535.21,566.81,1.607 0,10,right
30000,,T,140,0.001 062,576.89,608.76,1.7098,10,right
30000,,T,150,0.001072,618.73,650.89,1.8106,10,right
30000,,T,160,0.001082,660.74,693.21,1.909 4,10,right
30000,,T,170,0.001093,702.95,735.75,2.0065,10,right
30000,,T,180,0.001105,745.4,778.54,2.1020,10,right
30000,,T,190,0.001117,788.1,821.62,2.1961,10,right
30000,,T,200,0.001130,831.1,865.02,2.2888,10,right
30000,,T,210,0.001144,874.44,908.77,2.3803,10,right
30000,,T,220,0.001159,918.14,952.93,2.4707,10,right
30000,,T,230,0.001176,962.27,997.54,2.5603,10,right
30000,,T,240,0.001 193,"1,006.90","1,042.70",2.649 1,10,right
30000,,T,250,0.001 211,"1,052.00","1,088.40",2.7373,10,right
30000,,T,260,0.001 231,"1,097.80","1,134.70",2.8250,10,right
30000,,T,270,0.001 253,"1,144.20","1,181.80",2.9126,10,right
30000,,T,280,0.001 277,"1,191.50","1,229.80",3.0001,10,right
30000,,T,290,0.001 303,"1,239.60","1,278.70",3.0878,10,right
30000,,T,300,0.001 332,"1,288.90","1,328.90",3.1760,10,right
30000,,T,310,0.001 365,"1,339.50","1,380.40",3.265 2,10,right
30000,,T,320,0.001 401,"1,391.60","1,433.70",3.3557,10,right
30000,,T,330,0.001 444,"1,445.70","1,489.10",3.4483,10,right
30000,,T,340,0.001 493,"1,502.30","1,547.10",3.5438,10,right
30000,,T,350,0.001 553,"1,562.20","1,608.80",3.6436,10,right
30000,,T,360,0.001 628,"1,626.70","1,675.60",3.7498,10,right
30000,,T,370,0.001 727,"1,698.30","1,750.10",3.8666,10,right
30000,,T,380,0.001 873,"1,782.00","1,838.20",4.0025,10,right
30000,,T,390,0.002 133,"1,891.30","1,955.30",4.1804,10,right
30000,,T,400,0.002 798,"2,068.90","2,152.80",4.4757,10,right
30000,,T,410,0.003 981,"2,276.00","2,395.40",4.833 6,10,right
30000,,T,420,0.004 920,"2,405.30","2,552.90",5.0627,10,right
30000,,T,430,0.005 637,"2,493.70","2,662.80",5.2200,10,right
30000,,T,440,0.006 227,"2,562.10","2,748.90",5.3416,10,right
30000,,T,450,0.006 737,"2,618.90","2,821.00",5.4421,10,right
35000,,T,10,0.000 984,41.04,75.496,0.146 660,11,left
35000,,T,20,0.000 987,81.815,116.34,0.288 436,11,left
35000,,T,30,0.000 989,122.63,157.27,0.425 697,11,left
35000,,T,40,0.000 993,163.5,198.26,0.558 727,11,left
35000,,T,50,0.000 997,204.4,239.31,0.687 779,11,left
35000,,T,60,0.001 002,245.35,280.43,0.813 084,11,left
35000,,T,70,0.001 007,286.34,321.6,0.934 863,11,left
35000,,T,80,0.001 013,327.37,362.84,1.053 3,11,left
35000,,T,90,0.001 020,368.46,404.15,1.168 7,11,left
35000,,T,100,0.001027,409.6,445.54,1.281 1,11,left
35000,,T,110,0.001 034,450.82,487.01,1.390 8,11,left
35000,,T,120,0.001 042,492.12,528.59,1.497 9,11,left
35000,,T,130,0.001051,533.53,570.29,1.602 7,11,left
35000,,T,140,0.001 060,575.05,612.14,1.705 2,11,left
35000,,T,150,0.001 069,616.72,654.14,1.805 6,11,left
35000,,T,160,0.001079,658.56,696.33,1.904 2,11,left
35000,,T,170,0.001 090,700.58,738.73,2.000 9,11,left
35000,,T,180,0.001101,742.82,781.37,2.096 1,11,left
35000,,T,190,0.001113,785.3,824.28,2.189 7,11,left
35000,,T,200,0.001 126,828.06,867.48,2.282 0,11,left
35000,,T,210,0.001 140,871.12,911.02,2.373 1,11,left
35000,,T,220,0.001155,914.53,954.94,2.463 1,11,left
35000,,T,230,0.001170,958.33,999.28,2.552 1,11,left
35000,,T,240,0.001 187,"1,002.60","1,044.10",2.6403,11,left
35000,,T,250,0.001 205,"1,047.30","1,089.40",2.7278,11,left
35000,,T,260,0.001 224,"1,092.50","1,135.40",2.8148,11,left
35000,,T,270,0.001 245,"1,138.40","1,182.00",2.901 4,11,left
35000,,T,280,0.001 268,"1,185.10","1,229.40",2.9879,11,left
35000,,T,290,0.001 292,"1,232.50","1,277.70",3.0744,11,left
35000,,T,300,0.001 320,"1,280.80","1,327.00",3.161 2,11,left
35000,,T,310,0.001 350,"1,330.30","1,377.60",3.2486,11,left
35000,,T,320,0.001 384,"1,381.10","1,429.50",3.3370,11,left
35000,,T,330,0.001 422,"1,433.40","1,483.20",3.4268,11,left
35000,,T,340,0.001 466,"1,487.70","1,539.10",3.5186,11,left
35000,,T,350,0.001 517,"1,544.50","1,597.60",3.613 2,11,left
35000,,T,360,0.001579,"1,604.40","1,659.60",3.7120,11,left
35000,,T,370,0.001 655,"1,668.60","1,726.50",3.8168,11,left
35000,,T,380,0.001 755,"1,739.00","1,800.40",3.9308,11,left
35000,,T,390,0.001 893,"1,819.10","1,885.40",4.0599,11,left
35000,,T,400,0.002 105,"1,914.90","1,988.60",4.2143,11,left
35000,,T,410,0.002 475,"2,037.30","2,123.90",4.4138,11,left
35000,,T,420,0.003 084,"2,184.00","2,291.90",4.6579,11,left
35000,,T,430,0.003 780,"2,315.30","2,447.60",4.8809,11,left
35000,,T,440,0.004412,"2,417.30","2,571.80",5.0564,11,left
35000,,T,450,0.004957,"2,497.50","2,671.00",5.1945,11,left
40000,,T,10,0.000982,40.883,80.177,0.145 825,11,right
40000,,T,20,0.000984,81.52,120.9,0.287 163,11,right
40000,,T,30,0.000987,122.21,161.71,0.424055,11,right
40000,,T,40,0.000991,162.96,202.6,0.556 758,11,right
40000,,T,50,0.000995,203.75,243.56,0.685 513,11,right
40000,,T,60,0.001000,244.58,284.58,0.810541,11,right
40000,,T,70,0.001005,285.45,325.67,0.932 055,11,right
40000,,T,80,0.001011,326.37,366.82,1.0503,11,right
40000,,T,90,0.001018,367.33,408.04,1.1654,11,right
40000,,T,100,0.001024,408.35,449.33,1.2775,11,right
40000,,T,110,0.001032,449.44,490.72,1.3870,11,right
40000,,T,120,0.001040,490.61,532.2,1.493 8,11,right
40000,,T,130,0.001048,531.88,573.79,1.5983,11,right
40000,,T,140,0.001057,573.25,615.53,1.7006,11,right
40000,,T,150,0.001066,614.77,657.42,1.8008,11,right
40000,,T,160,0.001076,656.43,699.48,1.8990,11,right
40000,,T,170,0.001087,698.27,741.74,1.9955,11,right
40000,,T,180,0.001098,740.31,784.23,2.0903,11,right
40000,,T,190,0.001110,782.58,826.97,2.1836,11,right
40000,,T,200,0.001122,825.1,870,2.275 5,11,right
40000,,T,210,0.001136,867.91,913.34,2.3661,11,right
40000,,T,220,0.001150,911.04,957.04,2.4556,11,right
40000,,T,230,0.001165,954.52,"1,001.10",2.5442,11,right
40000,,T,240,0.001181,998.41,"1,045.70",2.6318,11,right
40000,,T,250,0.001 199,"1,042.70","1,090.70",2.7187,11,right
40000,,T,260,0.001 217,"1,087.60","1,136.30",2.8050,11,right
40000,,T,270,0.001 237,"1,133.00","1,182.40",2.8908,11,right
40000,,T,280,0.001 259,"1,179.00","1,229.30",2.9764,11,right
40000,,T,290,0.001 283,"1,225.70","1,277.00",3.0618,11,right
40000,,T,300,0.001 308,"1,273.30","1,325.60",3.1473,11,right
40000,,T,310,0.001 337,"1,321.80","1,375.30",3.2332,11,right
40000,,T,320,0.001 368,"1,371.50","1,426.20",3.3198,11,right
40000,,T,330,0.001 403,"1,422.40","1,478.50",3.4073,11,right
40000,,T,340,0.001 443,"1,474.90","1,532.60",3.4962,11,right
40000,,T,350,0.001 488,"1,529.30","1,588.80",3.5871,11,right
40000,,T,360,0.001541,"1,586.00","1,647.70",3.6808,11,right
40000,,T,370,0.001 605,"1,645.70","1,709.90",3.7783,11,right
40000,,T,380,0.001 682,"1,709.40","1,776.60",3.8813,11,right
40000,,T,390,0.001 780,"1,778.40","1,849.60",3.992 1,11,right
40000,,T,400,0.001911,"1,854.90","1,931.40",4.1145,11,right
40000,,T,410,0.002 093,"1,941.80","2,025.50",4.2533,11,right
40000,,T,420,0.002 360,"2,042.00","2,136.40",4.4144,11,right
40000,,T,430,0.002 744,"2,154.80","2,264.50",4.5979,11,right
40000,,T,440,0.003 209,"2,265.80",2394.2,4.7810,11,right
40000,,T,450,0.003 691,"2,364.20",2511.8,4.9448,11,right
45000,,T,10,0.000 980,40.723,84.834,0.144943,12,left
45000,,T,20,0.000 982,81.225,125.44,0.285 863,12,left
45000,,T,30,0.000 985,121.79,166.14,0.422 398,12,left
45000,,T,40,0.000 989,162.42,206.93,0.554 786,12,left
45000,,T,50,0.000 993,203.1,247.8,0.683 252,12,left
45000,,T,60,0.000 998,243.82,288.74,0.808 010,12,left
45000,,T,70,0.001 003,284.58,329.74,0.929 267,12,left
45000,,T,80,0.001 009,325.39,370.8,1.047 2,12,left
45000,,T,90,0.001 016,366.23,411.93,1.162 1,12,left
45000,,T,100,0.001 022,407.13,453.14,1.2740,12,left
45000,,T,110,0.001030,448.1,494.42,1.383 2,12,left
45000,,T,120,0.001 037,489.13,535.81,1.489 8,12,left
45000,,T,130,0.001 046,530.26,577.31,1.594 1,12,left
45000,,T,140,0.001 054,571.49,618.93,1.696 0,12,left
45000,,T,150,0.001 064,612.85,660.71,1.796 0,12,left
45000,,T,160,0.001073,654.35,702.65,1.893 9,12,left
45000,,T,170,0.001 084,696.02,744.78,1.990 1,12,left
45000,,T,180,0.001 095,737.87,787.13,2.084 6,12,left
45000,,T,190,0.001 106,779.93,829.72,2.177 5,12,left
45000,,T,200,0.001119,822.23,872.57,2.269 1,12,left
45000,,T,210,0.001 132,864.8,915.72,2.359 3,12,left
45000,,T,220,0.001 146,907.66,959.21,2.448 4,12,left
45000,,T,230,0.001 160,950.85,"1,003.10",2.5364,12,left
45000,,T,240,0.001176,994.41,"1,047.30",2.623 6,12,left
45000,,T,250,0.001 193,"1,038.40","1,092.00",2.7099,12,left
45000,,T,260,0.001 211,"1,082.80","1,137.30",2.7955,12,left
45000,,T,270,0.001 230,"1,127.70","1,183.10",2.8806,12,left
45000,,T,280,0.001 251,"1,173.20","1,229.50",2.965 3,12,left
45000,,T,290,0.001 273,"1,219.40","1,276.70",3.0498,12,left
45000,,T,300,0.001 298,"1,266.20","1,324.60",3.1342,12,left
45000,,T,310,0.001 324,"1,313.90","1,373.50",3.2188,12,left
45000,,T,320,0.001 354,"1,362.60","1,423.50",3.303 8,12,left
45000,,T,330,0.001 386,"1,412.30","1,474.70",3.3894,12,left
45000,,T,340,0.001 423,"1,463.40","1,527.40",3.4760,12,left
45000,,T,350,0.001 464,"1,515.90","1,581.80",3.5640,12,left
45000,,T,360,0.001511,"1,570.30","1,638.30",3.6539,12,left
45000,,T,370,0.001 565,"1,626.90","1,697.30",3.7464,12,left
45000,,T,380,0.001 629,"1,686.20","1,759.60",3.8425,12,left
45000,,T,390,0.001 707,"1,749.10","1,825.90",3.9433,12,left
45000,,T,400,0.001 803,"1,816.50","1,897.70",4.050 7,12,left
45000,,T,410,0.001 927,"1,889.70","1,976.40",4.1667,12,left
45000,,T,420,0.002 088,"1,969.80","2,063.70",4.2937,12,left
45000,,T,430,0.002 302,"2,057.50","2,161.10",4.433 1,12,left
45000,,T,440,0.002581,"2,151.70",2267.9,4.583 9,12,left
45000,,T,450,0.002915,"2,246.40",2377.6,4.7367,12,left
50000,,T,10,0.000 978,40.559,89.467,0.144017,12,right
50000,,T,20,0.000 980,80.931,129.95,0.284 535,12,right
50000,,T,30,0.000 983,121.38,170.56,0.420 727,12,right
50000,,T,40,0.000 987,161.9,211.25,0.552 810,12,right
50000,,T,50,0.000 991,202.46,252.03,0.680 995,12,right
50000,,T,60,0.000 996,243.08,292.88,0.805 491,12,right
50000,,T,70,0.001 001,283.73,333.8,0.926 498,12,right
50000,,T,80,0.001 007,324.42,374.78,1.044 2,12,right
50000,,T,90,0.001 013,365.15,415.82,1.158 8,12,right
50000,,T,100,0.001 020,405.93,456.94,1.2705,12,right
50000,,T,110,0.001 027,446.77,498.14,1.379 5,12,right
50000,,T,120,0.001 035,487.69,539.43,1.485 9,12,right
50000,,T,130,0.001 043,528.68,580.83,1.589 8,12,right
50000,,T,140,0.001 052,569.77,622.36,1.691 6,12,right
50000,,T,150,0.001 061,610.98,664.02,1.791 2,12,right
50000,,T,160,0.001070,652.32,705.84,1.888 9,12,right
50000,,T,170,0.001 081,693.82,747.85,1.984 8,12,right
50000,,T,180,0.001091,735.49,790.06,2.079 0,12,right
50000,,T,190,0.001 103,777.36,832.5,2.1716,12,right
50000,,T,200,0.001115,819.45,875.19,2.262 8,12,right
50000,,T,210,0.001 128,861.78,918.16,2.352 7,12,right
50000,,T,220,0.001 141,904.39,961.45,2.441 4,12,right
50000,,T,230,0.001 156,947.3,"1,005.10",2.5289,12,right
50000,,T,240,0.001 171,990.55,"1,049.10",2.6156,12,right
50000,,T,250,0.001 187,"1,034.20","1,093.50",2.7013,12,right
50000,,T,260,0.001 204,"1,078.20","1,138.40",2.7864,12,right
50000,,T,270,0.001 223,"1,122.70","1,183.90",2.8708,12,right
50000,,T,280,0.001 243,"1,167.70","1,229.90",2.9547,12,right
50000,,T,290,0.001 265,"1,213.30","1,276.60",3.0383,12,right
50000,,T,300,0.001 288,"1,259.60","1,324.00",3.1218,12,right
50000,,T,310,0.001 313,"1,306.50","1,372.20",3.205 2,12,right
50000,,T,320,0.001 341,"1,354.30","1,421.40",3.288 8,12,right
50000,,T,330,0.001 371,"1,403.10","1,471.60",3.3728,12,right
50000,,T,340,0.001 405,"1,452.90","1,523.10",3.4575,12,right
50000,,T,350,0.001 442,"1,503.90","1,576.10",3.543 1,12,right
50000,,T,360,0.001 485,"1,556.50","1,630.70",3.6301,12,right
50000,,T,370,0.001 533,"1,610.70","1,687.40",3.7189,12,right
50000,,T,380,0.001 588,"1,667.10","1,746.50",3.810 1,12,right
50000,,T,390,0.001 653,"1,725.90","1,808.60",3.9045,12,right
50000,,T,400,0.001 731,"1,787.80","1,874.40",4.002 9,12,right
50000,,T,410,0.001 825,"1,853.50","1,944.70",4.1066,12,right
50000,,T,420,0.001 941,"1,923.50","2,020.50",4.2168,12,right
50000,,T,430,0.002 086,"1,998.20","2,102.50",4.3342,12,right
50000,,T,440,0.002 266,"2,077.50","2,190.80",4.458 9,12,right
50000,,T,450,0.002 487,"2,160.30","2,284.70",4.589 6,12,right
55000,,T,10,0.000 976,40.392,94.079,0.143 048,13,full
55000,,T,20,0.000 978,80.637,134.45,0.283 181,13,full
55000,,T,30,0.000 982,120.97,174.96,0.419 042,13,full
55000,,T,40,0.000 985,161.38,215.56,0.550 829,13,full
55000,,T,50,0.000 989,201.84,256.26,0.678 744,13,full
55000,,T,60,0.000 994,242.34,297.02,0.802 985,13,full
55000,,T,70,0.000 999,282.89,337.86,0.923 747,13,full
55000,,T,80,0.001 005,323.47,378.75,1.041 2,13,full
55000,,T,90,0.001011,364.09,419.72,1.155 6,13,full
55000,,T,100,0.001018,404.76,460.75,1.267 1,13,full
55000,,T,110,0.001025,445.48,501.86,1.375 8,13,full
55000,,T,120,0.001 033,486.27,543.06,1.481 9,13,full
55000,,T,130,0.001 041,527.13,584.37,1.585 7,13,full
55000,,T,140,0.001 049,568.09,625.79,1.687 2,13,full
55000,,T,150,0.001058,609.15,667.35,1.786 6,13,full
55000,,T,160,0.001 068,650.34,709.06,1.884 0,13,full
55000,,T,170,0.001 078,691.67,750.94,1.979 6,13,full
55000,,T,180,0.001 088,733.17,793.02,2.073 5,13,full
55000,,T,190,0.001099,774.85,835.32,2.165 8,13,full
55000,,T,200,0.001111,816.73,877.85,2.256 7,13,full
55000,,T,210,0.001 124,858.84,920.65,2.346 2,13,full
55000,,T,220,0.001 137,901.21,963.75,2.434 5,13,full
55000,,T,230,0.001 151,943.86,"1,007.20",2.5216,13,full
55000,,T,240,0.001 166,986.82,"1,050.90",2.6078,13,full
55000,,T,250,0.001 182,"1,030.10","1,095.10",2.6930,13,full
55000,,T,260,0.001 199,"1,073.80","1,139.70",2.7775,13,full
55000,,T,270,0.001 216,"1,117.90","1,184.80",2.8613,13,full
55000,,T,280,0.001 236,"1,162.50","1,230.50",2.9446,13,full
55000,,T,290,0.001 256,"1,207.60","1,276.70",3.0274,13,full
55000,,T,300,0.001 279,"1,253.30","1,323.60",3.1099,13,full
55000,,T,310,0.001 303,"1,299.60","1,371.20",3.1923,13,full
55000,,T,320,0.001 329,"1,346.60","1,419.70",3.2748,13,full
55000,,T,330,0.001 358,"1,394.50","1,469.10",3.3574,13,full
55000,,T,340,0.001 389,"1,443.20","1,519.60",3.4404,13,full
55000,,T,350,0.001 424,"1,493.10","1,571.40",3.5241,13,full
55000,,T,360,0.001 462,"1,544.10","1,624.50",3.608 7,13,full
55000,,T,370,0.001 506,"1,596.50","1,679.30",3.6946,13,full
55000,,T,380,0.001555,"1,650.60","1,736.10",3.7822,13,full
55000,,T,390,0.001 611,"1,706.50","1,795.10",3.8719,13,full
55000,,T,400,0.001 676,"1,764.70","1,856.90",3.9643,13,full
55000,,T,410,0.001 753,"1,825.50","1,921.90",4.0602,13,full
55000,,T,420,0.001 844,"1,889.30","1,990.70",4.1602,13,full
55000,,T,430,0.001 954,"1,956.40","2,063.80",4.2649,13,full
55000,,T,440,0.002 085,"2,026.70","2,141.40",4.3744,13,full
55000,,T,450,0.002 242,"2,099.80","2,223.10",4.488 2,13,full
